Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Combined_Key,Active,source,FIPS,Admin2
Anhui,China,2020-01-22 17:00:00,1.0,0.0,0.0,31.8257,117.2264,"China, Anhui",1.0,01-22-2020.csv,,
Beijing,China,2020-01-22 17:00:00,14.0,0.0,0.0,40.1824,116.4142,"China, Beijing",14.0,01-22-2020.csv,,
Chongqing,China,2020-01-22 17:00:00,6.0,0.0,0.0,30.0572,107.874,"China, Chongqing",6.0,01-22-2020.csv,,
Fujian,China,2020-01-22 17:00:00,1.0,0.0,0.0,26.0789,117.9874,"China, Fujian",1.0,01-22-2020.csv,,
Gansu,China,2020-01-22 17:00:00,0.0,0.0,0.0,36.0611,103.8343,"China, Gansu",0.0,01-22-2020.csv,,
Guangdong,China,2020-01-22 17:00:00,26.0,0.0,0.0,23.3417,113.4244,"China, Guangdong",26.0,01-22-2020.csv,,
Guangxi,China,2020-01-22 17:00:00,2.0,0.0,0.0,23.8298,108.7881,"China, Guangxi",2.0,01-22-2020.csv,,
Guizhou,China,2020-01-22 17:00:00,1.0,0.0,0.0,26.8154,106.8748,"China, Guizhou",1.0,01-22-2020.csv,,
Hainan,China,2020-01-22 17:00:00,4.0,0.0,0.0,19.1959,109.7453,"China, Hainan",4.0,01-22-2020.csv,,
Hebei,China,2020-01-22 17:00:00,1.0,0.0,0.0,38.0428,114.5149,"China, Hebei",1.0,01-22-2020.csv,,
Heilongjiang,China,2020-01-22 17:00:00,0.0,0.0,0.0,47.862,127.7615,"China, Heilongjiang",0.0,01-22-2020.csv,,
Henan,China,2020-01-22 17:00:00,5.0,0.0,0.0,33.882,113.614,"China, Henan",5.0,01-22-2020.csv,,
Hong Kong,Hong Kong,2020-01-22 17:00:00,0.0,0.0,0.0,22.3,114.2,"Hong Kong, Hong Kong",0.0,01-22-2020.csv,,
Hubei,China,2020-01-22 17:00:00,444.0,17.0,28.0,30.9756,112.2707,"China, Hubei",399.0,01-22-2020.csv,,
Hunan,China,2020-01-22 17:00:00,4.0,0.0,0.0,27.6104,111.7088,"China, Hunan",4.0,01-22-2020.csv,,
Inner Mongolia,China,2020-01-22 17:00:00,0.0,0.0,0.0,44.0935,113.9448,"China, Inner Mongolia",0.0,01-22-2020.csv,,
Jiangsu,China,2020-01-22 17:00:00,1.0,0.0,0.0,32.9711,119.455,"China, Jiangsu",1.0,01-22-2020.csv,,
Jiangxi,China,2020-01-22 17:00:00,2.0,0.0,0.0,27.614,115.7221,"China, Jiangxi",2.0,01-22-2020.csv,,
Jilin,China,2020-01-22 17:00:00,0.0,0.0,0.0,43.6661,126.1923,"China, Jilin",0.0,01-22-2020.csv,,
Liaoning,China,2020-01-22 17:00:00,2.0,0.0,0.0,41.2956,122.6085,"China, Liaoning",2.0,01-22-2020.csv,,
Macau,Macau,2020-01-22 17:00:00,1.0,0.0,0.0,22.1667,113.55,"Macau, Macau",1.0,01-22-2020.csv,,
Ningxia,China,2020-01-22 17:00:00,1.0,0.0,0.0,37.2692,106.1655,"China, Ningxia",1.0,01-22-2020.csv,,
Qinghai,China,2020-01-22 17:00:00,0.0,0.0,0.0,35.7452,95.9956,"China, Qinghai",0.0,01-22-2020.csv,,
Shaanxi,China,2020-01-22 17:00:00,0.0,0.0,0.0,35.1917,108.8701,"China, Shaanxi",0.0,01-22-2020.csv,,
Shandong,China,2020-01-22 17:00:00,2.0,0.0,0.0,36.3427,118.1498,"China, Shandong",2.0,01-22-2020.csv,,
Shanghai,China,2020-01-22 17:00:00,9.0,0.0,0.0,31.202,121.4491,"China, Shanghai",9.0,01-22-2020.csv,,
Shanxi,China,2020-01-22 17:00:00,1.0,0.0,0.0,37.5777,112.2922,"China, Shanxi",1.0,01-22-2020.csv,,
Sichuan,China,2020-01-22 17:00:00,5.0,0.0,0.0,30.6171,102.7103,"China, Sichuan",5.0,01-22-2020.csv,,
Taiwan,Taiwan,2020-01-22 17:00:00,1.0,0.0,0.0,23.7,121.0,"Taiwan, Taiwan",1.0,01-22-2020.csv,,
Tianjin,China,2020-01-22 17:00:00,4.0,0.0,0.0,39.3054,117.323,"China, Tianjin",4.0,01-22-2020.csv,,
Tibet,China,2020-01-22 17:00:00,0.0,0.0,0.0,31.6927,88.0924,"China, Tibet",0.0,01-22-2020.csv,,
Washington,US,2020-01-22 17:00:00,1.0,0.0,0.0,47.4009,-121.4905,"US, Washington",1.0,01-22-2020.csv,,
Xinjiang,China,2020-01-22 17:00:00,0.0,0.0,0.0,41.1129,85.2401,"China, Xinjiang",0.0,01-22-2020.csv,,
Yunnan,China,2020-01-22 17:00:00,1.0,0.0,0.0,24.974,101.487,"China, Yunnan",1.0,01-22-2020.csv,,
Zhejiang,China,2020-01-22 17:00:00,10.0,0.0,0.0,29.1832,120.0934,"China, Zhejiang",10.0,01-22-2020.csv,,
,Japan,2020-01-22 17:00:00,2.0,0.0,0.0,36.0,138.0,Japan,2.0,01-22-2020.csv,,
,Thailand,2020-01-22 17:00:00,2.0,0.0,0.0,15.0,101.0,Thailand,2.0,01-22-2020.csv,,
,South Korea,2020-01-22 17:00:00,1.0,0.0,0.0,36.0,128.0,South Korea,1.0,01-22-2020.csv,,
Anhui,China,2020-01-23 17:00:00,9.0,0.0,0.0,31.8257,117.2264,"China, Anhui",9.0,01-23-2020.csv,,
Beijing,China,2020-01-23 17:00:00,22.0,0.0,0.0,40.1824,116.4142,"China, Beijing",22.0,01-23-2020.csv,,
Chongqing,China,2020-01-23 17:00:00,9.0,0.0,0.0,30.0572,107.874,"China, Chongqing",9.0,01-23-2020.csv,,
Fujian,China,2020-01-23 17:00:00,5.0,0.0,0.0,26.0789,117.9874,"China, Fujian",5.0,01-23-2020.csv,,
